Analysts,Units,Method,TStartVid,TEndVid,TStartAnalyst,TEndAnalyst
Rogoff & Dayton ,Unit 27,STILL,0:00:01,0:00:01,0:26:28,0:28:38
Rogoff & Dayton ,Unit 28,FREV,0:00:01,0:00:00,0:28:38,0:28:39
Rogoff & Dayton ,Unit 29,STILL,0:00:00,0:00:00,0:28:39,0:30:22
Rogoff & Dayton ,Unit 30,PLAY,0:00:00,0:00:01,0:30:22,0:30:21
Rogoff & Dayton ,Unit 31,STILL,0:00:01,0:00:01,0:30:21,0:30:26
Rogoff & Dayton ,Unit 32,PLAY,0:00:01,0:00:03,0:30:26,0:30:28
Rogoff & Dayton ,Unit 33,STILL,0:00:03,0:00:03,0:30:28,0:30:54
Rogoff & Dayton ,Unit 34,PLAY,0:00:03,0:00:19,0:30:54,0:31:10
Rogoff & Dayton ,Unit 35,STILL,0:00:19,0:00:19,0:31:10,0:31:20
Rogoff & Dayton ,Unit 36,FREV,0:00:19,0:00:00,0:31:20,0:31:23
Rogoff & Dayton ,Unit 37,PLAY,0:00:00,0:00:49,0:31:23,0:32:15
Rogoff & Dayton ,Unit 38,STILL,0:00:49,0:00:49,0:32:15,0:32:19
Rogoff & Dayton ,Unit 39,PLAY,0:00:49,0:00:50,0:32:19,0:32:20
Rogoff & Dayton ,Unit 40,STILL,0:00:50,0:00:50,0:32:20,0:32:32
Rogoff & Dayton ,Unit 41,FREV,0:00:50,0:00:37,0:32:32,0:32:39
Rogoff & Dayton ,Unit 42,STILL,0:00:37,0:00:37,0:32:39,0:32:42
Rogoff & Dayton ,Unit 43,PLAY,0:00:37,0:00:52,0:32:42,0:32:57
Rogoff & Dayton ,Unit 44,STILL,0:00:52,0:00:52,0:32:57,0:33:01
Rogoff & Dayton ,Unit 45,FREV,0:00:52,0:00:31,0:33:01,0:33:05
Rogoff & Dayton ,Unit 46,PLAY,0:00:31,0:00:52,0:33:05,0:33:26
Rogoff & Dayton ,Unit 47,FREV,0:00:52,0:00:38,0:33:26,0:33:33
Rogoff & Dayton ,Unit 48,STILL,0:00:38,0:00:38,0:33:33,0:34:20
Rogoff & Dayton ,Unit 49,FREV,0:00:38,0:00:00,0:34:20,0:34:35
Rogoff & Dayton ,Unit 50,FFW,0:00:00,0:01:52,0:34:35,0:34:38
Rogoff & Dayton ,Unit 51,STILL,0:01:52,0:01:52,0:34:38,0:34:44
Rogoff & Dayton ,Unit 52,FREV,0:01:52,0:00:00,0:34:44,0:34:48
Rogoff & Dayton ,Unit 53,STILL,0:00:00,0:00:00,0:34:48,0:38:33
Rogoff & Dayton ,Unit 54,FFW,0:00:00,0:00:26,0:38:33,0:38:36
Rogoff & Dayton ,Unit 55,FREV,0:00:26,0:00:00,0:38:36,0:38:39
Rogoff & Dayton ,Unit 56,STILL,0:00:00,0:00:00,0:38:39,0:39:00
Rogoff & Dayton ,Unit 57,FFW,0:00:00,0:01:56,0:39:00,0:39:24
Rogoff & Dayton ,Unit 58,STILL,0:01:56,0:01:56,0:39:24,0:39:39
Rogoff & Dayton ,Unit 59,FREV,0:01:56,0:01:25,0:39:39,0:39:51
Rogoff & Dayton ,Unit 60,FREV,0:01:25,0:00:28,0:39:51,0:40:05
Rogoff & Dayton ,Unit 61,FREV,0:00:28,0:00:00,0:40:05,0:40:13
Rogoff & Dayton ,Unit 62,FFW,0:00:00,0:00:55,0:40:13,0:40:25
Rogoff & Dayton ,Unit 63,STILL,0:00:55,0:00:55,0:40:25,0:40:29
Rogoff & Dayton ,Unit 64,FFW,0:00:55,0:01:59,0:40:29,0:40:41
